# x,y,z,B_x_err,B_y_err,B_z_err
-8.981847588728997245e-02,-9.237339078014791816e-02,-5.495030353275168200e-02,3.415415952548517708e+01,3.378522446647689037e+01,1.083720532383989479e+02
-9.291569544879668685e-02,-9.605137209445027691e-02,-4.984633322245926590e-02,1.336960839775407450e+01,nan,1.006167115970193890e+02
-8.849924071107481693e-02,-9.632201868569764680e-02,-5.982756938191112484e-02,7.282188457198280673e+01,nan,1.006520355921351211e+02
-8.362403676427648813e-02,-8.863277172055997188e-02,-5.263037734399473450e-02,3.886450414131849129e+01,1.581956934009342831e+03,1.068596752171915938e+02
-5.278240227006544827e-02,-8.757201132079182881e-02,9.886480203176147355e-03,9.034481368020907510e+00,2.906626937670297117e+00,2.047039441040121588e+01
-5.427263207555724223e-02,-8.770685983778561678e-02,1.008440576441637856e-02,9.155695468721601671e+00,1.713289172815671169e+00,1.610744789081516615e+01
-5.520468059749678719e-02,-8.936562348757425001e-02,9.944224601589087345e-03,1.699640935102507555e+01,2.679676598202281923e+01,2.187128548449508969e+01
-5.474757279336166932e-02,-8.537261506262415478e-02,9.520633754862962636e-03,9.610569811109813898e+00,7.256951443937164470e+01,1.763950039753485299e+01
-5.514914422116785203e-02,-8.663202755150639645e-02,1.006618795720796294e-02,1.090779910153654697e+01,5.512389464685578666e-01,1.675665870139294356e+01
-8.037050903692058434e-02,-8.970251537656556695e-02,-4.694105928934840660e-02,6.693797551924885170e+01,3.865933791392094463e+02,1.059693731809712318e+02
-6.092667061754218627e-02,-9.773523719741761262e-02,-8.955454740028412353e-02,9.560156170387485020e+01,nan,1.526711772208170430e+02
-8.005011649536999951e-02,-9.315341999086107494e-02,-6.367137363636396485e-02,6.973497215735706334e+01,4.972448430810212727e+01,1.154970174451394485e+02
-8.070410942461309078e-02,-9.632201868569764680e-02,-5.834506014490407899e-02,7.949224767066031916e+01,nan,1.045221734870624601e+02
-7.892612503932150414e-02,-9.258139962610970053e-02,-5.351048453612083922e-02,6.911471005129169498e+01,1.002427454975399996e+04,1.032564203342328000e+02
-7.567259731196560035e-02,-9.365114328211526784e-02,-4.782116648147451132e-02,6.876381013943824883e+01,1.391001210406901976e+02,1.004729004430157602e+02
-7.318159142785363169e-02,-9.082601944299306673e-02,-6.025474532488261925e-02,6.897739645547380860e+01,6.958383238846715813e+02,1.224327119884303556e+02
-7.827213211007841287e-02,-8.941280093127310091e-02,-5.883679802758072508e-02,6.375944731038092073e+01,1.046124802849776870e+03,1.060619222662674161e+02
-7.495957581314521834e-02,-9.456663850258104076e-02,-6.508932093366585903e-02,8.093223536542539875e+01,5.645336502970371839e+02,1.142951625689172772e+02
-6.960238811084758226e-02,-9.773523719741761262e-02,-6.467550344924642702e-02,8.722376944222864381e+01,nan,1.133107893238306900e+02
-6.041785365124431595e-02,-9.094094878967046158e-02,-7.679906039490302927e-02,8.385007308717871410e+01,1.324150569415060318e+03,1.942503103581982487e+02
-6.996814319562141837e-02,-9.773523719741761262e-02,-7.262681466782987261e-02,8.668030218466283543e+01,nan,1.073780638472547651e+02
-6.470177437557281253e-02,-9.320571159225284064e-02,-8.037976431850273051e-02,8.199104042321521035e+01,1.309670538626118912e+02,1.535913687300343611e+02
-6.580420873234196777e-02,-9.320571159225284064e-02,-7.463850969999921703e-02,7.712820615335796504e+01,1.153228939974293610e+02,1.821856538667564109e+02
-6.092840499630490514e-02,-9.773523719741761262e-02,-8.167599305891699857e-02,9.007781029959703289e+01,nan,1.345743305269707548e+02
-5.664448427197642244e-02,-9.547047439483523357e-02,-7.809528913531729732e-02,9.614111784127604210e+01,5.827895231948773471e+02,1.734909767303808223e+02
-6.152028800801347119e-02,-9.094094878967044771e-02,-7.105780577639950191e-02,8.390801485399050819e+01,8.768794704354246278e+03,1.777770259287553074e+02
-5.188941313970704683e-02,-9.317241210389312633e-02,9.540111383480247981e-03,2.029509588214341775e+01,5.670080430233674917e+01,4.176647147657418913e+01
-5.250873556135277065e-02,-9.440202972298772366e-02,9.754662053892739979e-03,2.627319729975650375e+01,1.405949387520488756e+02,3.099844864135948086e+01
-5.409184270651266890e-02,-9.473518184493220917e-02,9.687575136949760912e-03,2.388321979622691416e+01,7.283011467728520927e+00,3.944543945706062260e+01
-5.502389122845220693e-02,-9.370055321944070759e-02,9.547393974122469693e-03,2.938121123764953424e+01,4.681677250635979703e+01,3.565381209351470915e+01
-5.224233224308293816e-02,-9.517879509498775037e-02,9.093862586102001433e-03,2.802511521714023246e+01,1.547879974346587950e+01,4.178931195335488979e+01
-5.647955527343516413e-02,-9.445928946420702188e-02,8.478161510575489557e-03,4.581626690514003286e+01,1.225357669456681435e+02,5.438076040457030302e+01
-5.615024919697848838e-02,-9.639171551479189248e-02,7.402379253331387715e-03,5.758947388473941231e+01,9.335624266891871059e+01,6.515382446497812907e+01
-5.442818183372570562e-02,-9.640974464202561878e-02,7.810812249087627571e-03,5.307542386885131691e+01,1.056156273981674303e+03,5.935624951998238430e+01
-5.382543938824282947e-02,-9.551194721693223588e-02,9.026775669159020632e-03,3.391607675796586108e+01,2.422697518287721508e+01,4.837633801213058149e+01
-5.499728859584034069e-02,-8.379414351898603619e-02,5.855870647021751280e-03,1.342562184861634655e+01,1.206817692266277220e+01,3.566633818340098117e+01
-5.268967197061098784e-02,-8.653796533866356389e-02,8.674444914156885511e-03,9.004706945475655644e+00,6.289104310417410026e+00,2.407064305454456488e+01
-5.377833034829659908e-02,-8.541340136677513795e-02,8.326816273052116413e-03,9.470042866653843205e+00,1.170903521290296467e+01,2.089889795333613520e+01
-5.474478294324248984e-02,-8.538532568030447745e-02,6.966658649662284611e-03,1.371531952711720059e+01,2.091964662173507516e+00,3.212754318803587239e+01
-5.151265982546286704e-02,-8.576797228119455163e-02,9.230634425425831430e-03,7.486871886919141517e+00,3.362060968306735020e+01,2.923440658117963409e+01
-5.260131820314847828e-02,-8.464340830930611181e-02,8.883005784321062331e-03,7.644021824811704668e+00,8.981516379939595396e+00,1.877767499702221698e+01
-5.376913193765631149e-02,-9.215320116931377536e-02,9.027220586695463775e-03,2.018912177608035208e+01,2.387219695205016379e+01,2.782330443427635558e+01
-5.221776099407104271e-02,-9.195821217571066575e-02,8.952851079110261262e-03,2.039413976325874600e+01,3.285731013250647692e+01,3.223851517671570832e+01
-5.133716997625248357e-02,-8.968429051869566959e-02,9.642977093826363838e-03,1.074264635180931649e+01,8.200474450705297613e+01,3.154950876672914362e+01
-5.407818966140658795e-02,-8.975256179457639927e-02,9.162152596420959291e-03,1.411158280192885606e+01,1.269415310734252955e+01,2.669912548291242160e+01
-5.434610552225834640e-02,-9.081373380886204050e-02,8.257947868895564730e-03,2.246440600881723171e+01,5.470667012791865957e+00,3.448111028528967381e+01
-5.194984513321927733e-02,-9.089704016142502452e-02,9.857055806635657558e-03,1.293232794157531096e+01,2.273165090846730241e+00,2.547483144130892185e+01
-5.253346598250024230e-02,-8.867664335224516303e-02,9.088255046438956791e-03,1.135158203278266242e+01,3.097109974312520109e+00,2.552207534336776362e+01
-5.350121607680455305e-02,-9.109202915502812026e-02,9.931425314220858336e-03,1.338012068178481151e+01,9.037180117971921334e+00,2.280527840460177558e+01
-5.579448926269204440e-02,-9.594585615930507905e-02,5.769716530930852488e-03,6.042725272793487790e+01,2.162879315615672624e+02,6.609676829856181257e+01
-5.380601858116944303e-02,-9.584285323344543528e-02,5.517350058896370278e-03,5.891217212518251500e+01,2.111791490418522699e+01,7.189960588731632640e+01
-5.288955219395536506e-02,-9.620908872953874702e-02,6.767265082816350738e-03,5.178858712958479060e+01,1.188733284063755775e+02,6.449860402253543157e+01
-5.331074584001467553e-02,-9.747507349443990110e-02,4.473965365399281899e-03,7.296367919748853126e+01,3.529301526082167584e+01,6.807515673598804540e+01
-5.234253241864916112e-02,-9.942364666753934765e-02,8.404801494026390915e-03,7.403207075248606372e+01,nan,4.904928582546251903e+01
-5.209294207312156755e-02,-9.886013846871992417e-02,5.337932299421447799e-03,8.274475388025039990e+01,nan,7.999473026935696396e+01
-5.207612910037932863e-02,-9.840481718935262245e-02,7.744002026235651502e-03,5.745534154504469626e+01,9.782699412198203390e+02,7.588395542796608595e+01
-5.205389563515474410e-02,-9.784130899053319896e-02,6.624722252653191326e-03,6.200688451621824271e+01,1.043117896270138374e+02,8.655078566357222769e+01
