# x,y,z,J_x_err,J_y_err,J_z_err
-5.288362664964148252e-02,-9.338432371280072641e-02,1.494220354611023802e-02,5.063729140584681545e+02,6.646486465757911466e-02,3.390287365103045403e+01
-5.265564747506630561e-02,-9.199084334753736270e-02,1.829651814469741844e-02,8.606365420337922956e+00,4.668748341165393501e-02,7.443894311764940142e+01
-5.314263198407274957e-02,-9.082378861170034567e-02,1.787638107838301904e-02,2.533061662177156279e+02,3.276716169820206859e-02,2.975449299299514223e+02
-5.382782729747465772e-02,-9.109043916973738608e-02,1.685264011035748910e-02,1.395164099774214264e+03,3.276716169525874245e-02,5.881367622875774259e+02
-5.118330691631983731e-02,-9.314467971168624572e-02,1.220447963387620745e-02,2.905201113838653555e+02,1.595477192028638136e-02,1.008817989619281093e+03
-4.932878401834181470e-02,-9.166162344435946352e-02,1.099412426084673752e-02,2.083880775847375233e+01,8.424835677411722512e-03,1.194840210534920466e+01
-5.218165172452260414e-02,-9.287325481906708036e-02,1.290433710857410640e-02,5.092945236724588653e+01,1.594440047753081444e-02,8.267770653988567631e+01
-5.126918072460338871e-02,-9.254745645579721958e-02,1.095877900696912328e-02,3.385915086103221370e+02,9.420460009399583834e-04,2.458122510006034645e+03
-5.199334323574378303e-02,-9.240916410830143923e-02,1.428733403061819077e-02,1.122000023133719111e+02,3.642810150900906846e-02,5.414005361412886685e+01
-5.001649259077733251e-02,-9.280835361362239910e-02,1.086792525027857094e-02,1.425716634459570109e+01,3.962946815860837399e-03,1.169405451413489949e+01
-4.993061878249377417e-02,-9.340557686951142524e-02,1.211362587718565337e-02,1.883708972744372190e+01,3.402253410135158002e-02,2.427145034280906941e+02
-5.329918830264478158e-02,-9.198257898350281625e-02,1.234438296167659870e-02,3.485575132532246556e+01,3.965484063735278536e-02,4.610744322415590091e+01
-5.384118798457580846e-02,-9.162983394915642787e-02,1.347005841188223842e-02,5.165191986204926167e+01,3.897789155828436380e-02,1.518529336237319782e+01
-5.324053914760409900e-02,-9.179101601206722527e-02,1.438185952432924179e-02,2.963157519955406016e+01,4.758220409733075751e-02,2.576739538606392799e+01
-5.287812763637121660e-02,-9.083296934157955582e-02,1.185549033934590706e-02,1.603475795899617538e+02,4.935854084828250610e-02,2.023090828227752525e+02
