a_field_0,a_field_1,a_field_2,x_0,x_1,x_2
-69387299778.896,-225404524747.4,321052759624.64,-0.0961029036706,-0.04616345001555,-0.06268358214135
-34577120054.927,-220527017550.84,191313279848.34,-0.097701042970225,-0.045641698607575,-0.074569754757925
-36665855652.169,-220456279857.21,189431689138.33,-0.093803946640825,-0.0441895328189,-0.0697051341335
-57306027011.431,-174559764590.25,160569071892.92,-0.097701042970225,-0.039523765438825,-0.078311247032975
-76752300289.591,-269466835616.41,295702602770.51,-0.09325825819355,-0.042204759819125,-0.056898200987775
-430035476030.24,4403944948.4697,130534202701.6,-0.049914111597025,-0.095917558289825,-0.0958225731926
-331069795001.36,-61827763370.704,91388669583.71,-0.0604838733191,-0.089174703703725,-0.097263172226075
-343140347400.71,-53749677132.825,81573403620.556,-0.0556239169965,-0.093652795487225,-0.093085745418675
-343472869611.62,-54989106479.445,80332037789.254,-0.0537792001244,-0.088047843671525,-0.0901561375705
-331295041708.58,-64809984541.707,89124732792.139,-0.058639156447,-0.083569751888025,-0.0943335643779
-399510012573.96,-22003548195.326,251356613271.24,-0.054798033021075,-0.0898655225791,-0.083044235628475
-336199571994,-68398613280.284,216292596091.39,-0.058571402400325,-0.085335996973925,-0.08174800688805
-172992991568.78,-120469076004.7,73149448129.595,-0.079986195426,-0.060877768979025,-0.09712536130315
-329699945120.41,-43691225803.353,78632538678.454,-0.056453320268175,-0.077958099911675,-0.097070392151825
-49081395046.364,-154419228831.55,46783613980.449,-0.091722765934,-0.030023455003025,-0.09658040098875
-57315426672.857,-140157467699.13,45959163829.874,-0.08712485187445,-0.03582565974475,-0.0937057622919
-53629624930.089,-146541463579.93,38282278577.999,-0.08691532217,-0.0408968980722,-0.09712536130315
-157228444179.9,-143013599248.56,51985618607.349,-0.07857863592485,-0.04087276243785,-0.09712536130315
-43814534402.717,-167728277101.2,43096740839.398,-0.0967036999654,-0.0191507413162,-0.0875703911515
-37741924560.42,-170417656563.17,110688377032.49,-0.0967036999654,-0.018694782994725,-0.079266021106
-50515540424.429,-156903241489.05,46605941441.503,-0.0884264658994,-0.024268160267325,-0.092615841663075
-53051623048.805,-157785027143.21,48882536784.632,-0.092756592918325,-0.024174196319225,-0.088480919159175
-41108919444.753,-235517115686.45,188885433804.58,-0.0888751296025,-0.037652963972175,-0.070383565647675
-62091790370.082,-211917689978.52,139174851768.05,-0.095071182961675,-0.028569982663525,-0.072340011249475
-45312704345.93,-162805242174.79,105463059539.2,-0.091774882927075,-0.02318218336865,-0.07639816486015
-71549528302.449,-190463555970.73,151461253134.55,-0.0927722259319,-0.03424329563545,-0.075195705478375
-43489024642.938,-164849862490.75,102807992199.49,-0.08782777588,-0.02616159669315,-0.0812829358944
-43581100308.152,-188733789071.69,106220424635.94,-0.088825118884825,-0.0321342460793,-0.079798819403475
-118935089484.87,-183523827604.45,125059943155.94,-0.081235175810825,-0.02474497116985,-0.0818188667659
-121150060605.3,-169594209028.63,38607313964.044,-0.081833865830225,-0.025257570795925,-0.089016850030675
